Time,Time_Formatted,Temp_External,Temp_Internal,Open,Close_Actuation
1642094956,13/01/2022 17:29,5.8,18.1,0,0
1642095256,13/01/2022 17:34,5.8,18.3,1,0
1642095556,13/01/2022 17:39,5.7,18,1,0
1642095856,13/01/2022 17:44,5.6,17.7,1,0
1642096156,13/01/2022 17:49,5.6,17,1,0
1642096456,13/01/2022 17:54,5.5,17.1,1,0
1642096756,13/01/2022 17:59,5.5,16.8,1,1
1642097056,13/01/2022 18:04,5.4,17.1,0,0
1642097356,13/01/2022 18:09,5.4,17.4,0,0
1642097656,13/01/2022 18:14,5.3,17.3,0,0
1642097956,13/01/2022 18:19,5.3,17.6,0,0
1642098256,13/01/2022 18:24,5.3,17.9,0,0
1642098556,13/01/2022 18:29,5.2,17.2,0,0
1642098856,13/01/2022 18:34,5.2,17.3,0,0
1642099156,13/01/2022 18:39,5.2,17.2,1,0
1642099456,13/01/2022 18:44,5.1,17,1,0
1642099756,13/01/2022 18:49,5.1,16.9,1,1
1642100056,13/01/2022 18:54,5.1,17,0,0
1642100356,13/01/2022 18:59,5,17.2,0,0
1642100656,13/01/2022 19:04,5,17.3,0,0
1642100956,13/01/2022 19:09,5,17.8,0,0
1642101256,13/01/2022 19:14,4.9,17.9,0,0
1642101556,13/01/2022 19:19,4.9,17,0,0
1642101856,13/01/2022 19:24,4.9,17.1,0,0
1642102156,13/01/2022 19:29,4.8,17.2,0,0
1642102456,13/01/2022 19:34,4.8,17.4,0,0
1642102756,13/01/2022 19:39,4.8,17,1,0
1642103056,13/01/2022 19:44,4.7,17.9,0,0
1642103356,13/01/2022 19:49,4.7,17.8,0,0
1642103656,13/01/2022 19:54,4.7,17.3,0,0
1642103956,13/01/2022 19:59,4.6,17.6,0,0
1642104256,13/01/2022 20:04,4.6,17.7,0,0
1642104556,13/01/2022 20:09,4.6,17.9,0,0
1642104856,13/01/2022 20:14,4.6,17.6,0,0
1642105156,13/01/2022 20:19,4.6,17.2,0,0
1642105456,13/01/2022 20:24,4.6,17.8,0,0
1642105756,13/01/2022 20:29,4.6,17,1,0
1642106056,13/01/2022 20:34,4.6,17,1,0
